species;longitude;latitude
Plagioscion_squamosissimus;-37.9;-5.8333
Plagioscion_squamosissimus;-53.9833;-24.0333
Plagioscion_squamosissimus;-48.54;-22.52
Plagioscion_squamosissimus;-48.7536;-22.1539
Plagioscion_squamosissimus;-49.7836;-21.2978
Plagioscion_squamosissimus;-37.8;-5.75
Plagioscion_squamosissimus;-54;-23.8667
Plagioscion_squamosissimus;-49.2127;-21.6765
Plagioscion_squamosissimus;-52.7786;-22.6597
Plagioscion_squamosissimus;-53.5333;-22.7833
Plagioscion_squamosissimus;-52.1614;-22.6346
Plagioscion_squamosissimus;-52.1588;-22.6117
Plagioscion_squamosissimus;-52.0275;-22.5354
Plagioscion_squamosissimus;-51.4454;-22.6465
Plagioscion_squamosissimus;-54.0033;-23.8689
Plagioscion_squamosissimus;-45.084;-3.2416
Plagioscion_squamosissimus;-37.9;-5.8333
Plagioscion_squamosissimus;-42.65;-7
Plagioscion_squamosissimus;-42.8167;-4.0333
Plagioscion_squamosissimus;-41.9667;-6.1667
Plagioscion_squamosissimus;-53.3167;-22.7833
Plagioscion_squamosissimus;-40.5833;-9.45
Plagioscion_squamosissimus;-49.1333;-21.65
Plagioscion_squamosissimus;-45.0858;-3.2356
Plagioscion_squamosissimus;-44.2367;-2.9528
Plagioscion_squamosissimus;-44.2564;-3.0022
Plagioscion_squamosissimus;-44.2464;-3.0497
Plagioscion_squamosissimus;-42.8167;-4.0333
Plagioscion_squamosissimus;-41.9667;-6.1667
Plagioscion_squamosissimus;-42.65;-7
Plagioscion_squamosissimus;-53.3167;-22.7833
Plagioscion_squamosissimus;-54.3;-24.7
Plagioscion_squamosissimus;-41.6083;-9.7333
Plagioscion_squamosissimus;-38.2081;-9.3581
Plagioscion_squamosissimus;-38.2019;-9.3981
Plagioscion_squamosissimus;-38.2667;-9.3667
Plagioscion_squamosissimus;-37.7911;-9.6209
Plagioscion_squamosissimus;-40.441;-4.2445
Plagioscion_squamosissimus;-38.6312;-4.0113
Plagioscion_squamosissimus;-38.6543;-4.0368
Plagioscion_squamosissimus;-49.7001;-23.1296
Plagioscion_squamosissimus;-49.0748;-23.3796
Plagioscion_squamosissimus;-49.9899;-23.1167
Plagioscion_squamosissimus;-53.2028;-22.6624
Plagioscion_squamosissimus;-53.2062;-22.6686
Plagioscion_squamosissimus;-53.2133;-22.6788
Plagioscion_squamosissimus;-53.2221;-22.6867
Plagioscion_squamosissimus;-53.2347;-22.6933
Plagioscion_squamosissimus;-53.2482;-22.6994
Plagioscion_squamosissimus;-53.2605;-22.7026
Plagioscion_squamosissimus;-53.2795;-22.7147
Plagioscion_squamosissimus;-53.2978;-22.7288
Plagioscion_squamosissimus;-53.2144;-22.7288
Plagioscion_squamosissimus;-53.251;-22.7499
Plagioscion_squamosissimus;-53.232;-22.7525
