species,longitude,latitude
Plagioscion_squamosissimus,-51.6667,3
Plagioscion_squamosissimus,-51.3333,3.3333
Plagioscion_squamosissimus,-51,3.6667
Plagioscion_squamosissimus,-58.7667,-3.3667
Plagioscion_squamosissimus,-48.4333,-1.2333
Plagioscion_squamosissimus,-56.014,-4.2884
Plagioscion_squamosissimus,-57.7374,-6.2482
Plagioscion_squamosissimus,-54.9497,-2.4196
Plagioscion_squamosissimus,-64.6833,-9.1881
Plagioscion_squamosissimus,-64.6833,-9.2667
Plagioscion_squamosissimus,-64.8833,-9.3833
Plagioscion_squamosissimus,-60.2433,-3.3067
Plagioscion_squamosissimus,-59.9701,-3.2538
Plagioscion_squamosissimus,-48.5833,-11.8667
Plagioscion_squamosissimus,-48.4,-10.6167
Plagioscion_squamosissimus,-48.45,-11.2333
Plagioscion_squamosissimus,-48.1667,-8.9667
Plagioscion_squamosissimus,-55.9081,-3.1631
Plagioscion_squamosissimus,-48.8667,-1.6833
Plagioscion_squamosissimus,-50.2,-1
Plagioscion_squamosissimus,-54.7333,-2.4
Plagioscion_squamosissimus,-75.8833,-0.25
Plagioscion_squamosissimus,-55.6944,-4.0808
Plagioscion_squamosissimus,-48.1667,-8.9667
Plagioscion_squamosissimus,-48.4,-10.6167
Plagioscion_squamosissimus,-48.5833,-11.8667
Plagioscion_squamosissimus,-48.3714,-9.7572
Plagioscion_squamosissimus,-48.095,0.0617
Plagioscion_squamosissimus,-49.9067,1.6783
Plagioscion_squamosissimus,-55.3615,-3.5486
Plagioscion_squamosissimus,-55.3738,-3.7801
Plagioscion_squamosissimus,-55.9166,-4.2575
Plagioscion_squamosissimus,-56.0786,-4.3588
Plagioscion_squamosissimus,-56.2508,-4.3908
Plagioscion_squamosissimus,-56.2586,-4.4268
Plagioscion_squamosissimus,-48.7529,-1.5412
Plagioscion_squamosissimus,-48.7787,-1.5693
Plagioscion_squamosissimus,-48.4833,-1.25
Plagioscion_squamosissimus,-48.75,-1.5
Plagioscion_squamosissimus,-66.15,7.6525
Plagioscion_squamosissimus,-63.2544,-4.0333
Plagioscion_squamosissimus,-48.71,-11.1153
Plagioscion_squamosissimus,-60.5,8.5667
Plagioscion_squamosissimus,-49.2,-3.7167
Plagioscion_squamosissimus,-66.3197,-7.6392
Plagioscion_squamosissimus,-66.15,-7.6525
Plagioscion_squamosissimus,-66.3197,-7.6392
Plagioscion_squamosissimus,-66.15,-7.6525
Plagioscion_squamosissimus,-55.1886,5.8759
Plagioscion_squamosissimus,-66.3167,-7.6333
Plagioscion_squamosissimus,-66.15,-7.6525
Plagioscion_squamosissimus,-60,-3
Plagioscion_squamosissimus,-48.3714,-9.7572
Plagioscion_squamosissimus,-48.1167,-5.65
Plagioscion_squamosissimus,-60.0261,-3.1072
Plagioscion_squamosissimus,-48.5333,-1.25
Plagioscion_squamosissimus,-55.6883,-4.0961
Plagioscion_squamosissimus,-48.5833,-11.8667
Plagioscion_squamosissimus,-48.4,-10.6167
Plagioscion_squamosissimus,-48.1667,-8.9667
Plagioscion_squamosissimus,-61.8581,-1.0564
Plagioscion_squamosissimus,-61.8486,-1.2664
Plagioscion_squamosissimus,-60.2456,-3.0789
Plagioscion_squamosissimus,-58.8681,-3.4706
Plagioscion_squamosissimus,-60.1194,-3.3444
Plagioscion_squamosissimus,-59.5386,-3.1156
Plagioscion_squamosissimus,-58.2203,-3.0775
Plagioscion_squamosissimus,-57.0331,-2.5519
Plagioscion_squamosissimus,-54.9725,-2.1725
Plagioscion_squamosissimus,-54.5014,-2.4694
Plagioscion_squamosissimus,-55.1606,-2.8714
Plagioscion_squamosissimus,-51.15,4.4333
Plagioscion_squamosissimus,-50.95,-14.416
Plagioscion_squamosissimus,-50.95,-14.4167
Plagioscion_squamosissimus,-62.0596,9.057
Plagioscion_squamosissimus,-50.2078,-1.0006
Plagioscion_squamosissimus,-48.4833,-1.25
Plagioscion_squamosissimus,-60.8333,-3.4
Plagioscion_squamosissimus,-64.9451,-3.4024
Plagioscion_squamosissimus,-59.9172,-3.1494
Plagioscion_squamosissimus,-60.8115,-3.287
Plagioscion_squamosissimus,-60.0139,-1.1548
Plagioscion_squamosissimus,-48.7465,-1.5437
Plagioscion_squamosissimus,-48.8667,-1.55
Plagioscion_squamosissimus,-48.5333,-1.45
Plagioscion_squamosissimus,-59.9198,-3.1516
Plagioscion_squamosissimus,-54.8093,-2.2295
Plagioscion_squamosissimus,-57.1816,5.1527
Plagioscion_squamosissimus,-73.18,3.01
Plagioscion_squamosissimus,-68.08,6.02
Plagioscion_squamosissimus,-70.41,5.51
Plagioscion_squamosissimus,-72.56,4.31
Plagioscion_squamosissimus,-67.4262,5.9952
Plagioscion_squamosissimus,-72.56,4.3
Plagioscion_squamosissimus,-72.56,4.31
Plagioscion_squamosissimus,-72.56,4.31
Plagioscion_squamosissimus,-50.9925,-4.45
Plagioscion_squamosissimus,-50.3339,4.2972
Plagioscion_squamosissimus,-50.1736,4.0494
Plagioscion_squamosissimus,-48.7767,-1.5591
Plagioscion_squamosissimus,-50.0817,3.9064
